Query,Assessment_url
"looking to hire mid-level professionals who are proficient in python, sql and java script. need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/
"looking to hire mid-level professionals who are proficient in python, sql and java script. need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
"looking to hire mid-level professionals who are proficient in python, sql and java script. need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"looking to hire mid-level professionals who are proficient in python, sql and java script. need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/
"looking to hire mid-level professionals who are proficient in python, sql and java script. need an assessment package that can test all skills with max duration of 60 minutes.",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
"job description join a community that is shaping the future of work! shl, people science. people answers. are you an ai enthusiastwith visionary thinking to conceptualize ai-based products? are you looking to apply these skills in an environment where teamwork and collaboration are key to developing our digital product experiences? we are seeking a research engineer to join our team to deliver robust ai/ml models. you will closely work with the product team to spot opportunities to use ai in the current product stack and influence the product roadmap by incorporating ai-led features/products. an excellent benefits package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture. there is a huge investment in shl currently so there’s no better time to become a part of something transformational. what you will be doing develop and experiment with machine learning models like nlp, computer vision etc. prototype and fine-tune generative ai models for text, image, speech, and video generation. implement emerging llm technologies and monitoring tools. manage the entire ai/ml lifecycle from research to deployment and maintenance. optimize models for scalability, efficiency, and performance. collaborate with ml engineers for solution delivery and propose ai-driven enhancements. contribute to research, documentation, and publications with ai/ml advancements. essential what we are looking for from you: relevant experience in ai/ml - nlp, speech processing, and computer vision. proficiency in python and ml frameworks such as tensorflow, pytorch, & openai apis. good knowledge of ml theory deep learning, and statistical modeling. desirable familiarity with generative ai (llms & rag). experience in prototyping and deploying ai. agile and proactive thinking. get in touch find out how this one-off opportunity can help you to achieve your career goals by making an application to our knowledgeable and friendly talent acquisition team. choose a new path with shl. #careersatshl #shlhiringtalent #aijobs #researchjobs #mljobs #careeropportunities #jobopportunities about us we unlock the possibilities of businesses through the power of people, science and technology. we started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation. when you inspire and transform people’s lives, you will experience the greatest business outcomes possible. shl’s products insights, experiences, and services can help achieve growth at scale. what shl can offer you diversity, equity, inclusion and accessibility are key threads in the fabric of shl’s business and culture (find out more about dei and accessibility at shl ) employee benefits package that takes care of you and your family. support, coaching, and on-the-job development to achieve career success a fun and flexible workplace where you’ll be inspired to do your best work (find out more lifeatshl ) the ability to transform workplaces around the world for others. shl is an equal opportunity employer. we support and encourage applications from a diverse range of candidates. we can, and do make adjustments to make sure our recruitment process is as inclusive as possible. can you recommend some assessment that can help me screen applications. time limit is less than 30 minutes",https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/
"job description join a community that is shaping the future of work! shl, people science. people answers. are you an ai enthusiastwith visionary thinking to conceptualize ai-based products? are you looking to apply these skills in an environment where teamwork and collaboration are key to developing our digital product experiences? we are seeking a research engineer to join our team to deliver robust ai/ml models. you will closely work with the product team to spot opportunities to use ai in the current product stack and influence the product roadmap by incorporating ai-led features/products. an excellent benefits package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture. there is a huge investment in shl currently so there’s no better time to become a part of something transformational. what you will be doing develop and experiment with machine learning models like nlp, computer vision etc. prototype and fine-tune generative ai models for text, image, speech, and video generation. implement emerging llm technologies and monitoring tools. manage the entire ai/ml lifecycle from research to deployment and maintenance. optimize models for scalability, efficiency, and performance. collaborate with ml engineers for solution delivery and propose ai-driven enhancements. contribute to research, documentation, and publications with ai/ml advancements. essential what we are looking for from you: relevant experience in ai/ml - nlp, speech processing, and computer vision. proficiency in python and ml frameworks such as tensorflow, pytorch, & openai apis. good knowledge of ml theory deep learning, and statistical modeling. desirable familiarity with generative ai (llms & rag). experience in prototyping and deploying ai. agile and proactive thinking. get in touch find out how this one-off opportunity can help you to achieve your career goals by making an application to our knowledgeable and friendly talent acquisition team. choose a new path with shl. #careersatshl #shlhiringtalent #aijobs #researchjobs #mljobs #careeropportunities #jobopportunities about us we unlock the possibilities of businesses through the power of people, science and technology. we started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation. when you inspire and transform people’s lives, you will experience the greatest business outcomes possible. shl’s products insights, experiences, and services can help achieve growth at scale. what shl can offer you diversity, equity, inclusion and accessibility are key threads in the fabric of shl’s business and culture (find out more about dei and accessibility at shl ) employee benefits package that takes care of you and your family. support, coaching, and on-the-job development to achieve career success a fun and flexible workplace where you’ll be inspired to do your best work (find out more lifeatshl ) the ability to transform workplaces around the world for others. shl is an equal opportunity employer. we support and encourage applications from a diverse range of candidates. we can, and do make adjustments to make sure our recruitment process is as inclusive as possible. can you recommend some assessment that can help me screen applications. time limit is less than 30 minutes",https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/
"job description join a community that is shaping the future of work! shl, people science. people answers. are you an ai enthusiastwith visionary thinking to conceptualize ai-based products? are you looking to apply these skills in an environment where teamwork and collaboration are key to developing our digital product experiences? we are seeking a research engineer to join our team to deliver robust ai/ml models. you will closely work with the product team to spot opportunities to use ai in the current product stack and influence the product roadmap by incorporating ai-led features/products. an excellent benefits package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture. there is a huge investment in shl currently so there’s no better time to become a part of something transformational. what you will be doing develop and experiment with machine learning models like nlp, computer vision etc. prototype and fine-tune generative ai models for text, image, speech, and video generation. implement emerging llm technologies and monitoring tools. manage the entire ai/ml lifecycle from research to deployment and maintenance. optimize models for scalability, efficiency, and performance. collaborate with ml engineers for solution delivery and propose ai-driven enhancements. contribute to research, documentation, and publications with ai/ml advancements. essential what we are looking for from you: relevant experience in ai/ml - nlp, speech processing, and computer vision. proficiency in python and ml frameworks such as tensorflow, pytorch, & openai apis. good knowledge of ml theory deep learning, and statistical modeling. desirable familiarity with generative ai (llms & rag). experience in prototyping and deploying ai. agile and proactive thinking. get in touch find out how this one-off opportunity can help you to achieve your career goals by making an application to our knowledgeable and friendly talent acquisition team. choose a new path with shl. #careersatshl #shlhiringtalent #aijobs #researchjobs #mljobs #careeropportunities #jobopportunities about us we unlock the possibilities of businesses through the power of people, science and technology. we started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation. when you inspire and transform people’s lives, you will experience the greatest business outcomes possible. shl’s products insights, experiences, and services can help achieve growth at scale. what shl can offer you diversity, equity, inclusion and accessibility are key threads in the fabric of shl’s business and culture (find out more about dei and accessibility at shl ) employee benefits package that takes care of you and your family. support, coaching, and on-the-job development to achieve career success a fun and flexible workplace where you’ll be inspired to do your best work (find out more lifeatshl ) the ability to transform workplaces around the world for others. shl is an equal opportunity employer. we support and encourage applications from a diverse range of candidates. we can, and do make adjustments to make sure our recruitment process is as inclusive as possible. can you recommend some assessment that can help me screen applications. time limit is less than 30 minutes",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
"job description join a community that is shaping the future of work! shl, people science. people answers. are you an ai enthusiastwith visionary thinking to conceptualize ai-based products? are you looking to apply these skills in an environment where teamwork and collaboration are key to developing our digital product experiences? we are seeking a research engineer to join our team to deliver robust ai/ml models. you will closely work with the product team to spot opportunities to use ai in the current product stack and influence the product roadmap by incorporating ai-led features/products. an excellent benefits package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture. there is a huge investment in shl currently so there’s no better time to become a part of something transformational. what you will be doing develop and experiment with machine learning models like nlp, computer vision etc. prototype and fine-tune generative ai models for text, image, speech, and video generation. implement emerging llm technologies and monitoring tools. manage the entire ai/ml lifecycle from research to deployment and maintenance. optimize models for scalability, efficiency, and performance. collaborate with ml engineers for solution delivery and propose ai-driven enhancements. contribute to research, documentation, and publications with ai/ml advancements. essential what we are looking for from you: relevant experience in ai/ml - nlp, speech processing, and computer vision. proficiency in python and ml frameworks such as tensorflow, pytorch, & openai apis. good knowledge of ml theory deep learning, and statistical modeling. desirable familiarity with generative ai (llms & rag). experience in prototyping and deploying ai. agile and proactive thinking. get in touch find out how this one-off opportunity can help you to achieve your career goals by making an application to our knowledgeable and friendly talent acquisition team. choose a new path with shl. #careersatshl #shlhiringtalent #aijobs #researchjobs #mljobs #careeropportunities #jobopportunities about us we unlock the possibilities of businesses through the power of people, science and technology. we started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation. when you inspire and transform people’s lives, you will experience the greatest business outcomes possible. shl’s products insights, experiences, and services can help achieve growth at scale. what shl can offer you diversity, equity, inclusion and accessibility are key threads in the fabric of shl’s business and culture (find out more about dei and accessibility at shl ) employee benefits package that takes care of you and your family. support, coaching, and on-the-job development to achieve career success a fun and flexible workplace where you’ll be inspired to do your best work (find out more lifeatshl ) the ability to transform workplaces around the world for others. shl is an equal opportunity employer. we support and encourage applications from a diverse range of candidates. we can, and do make adjustments to make sure our recruitment process is as inclusive as possible. can you recommend some assessment that can help me screen applications. time limit is less than 30 minutes",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
"job description join a community that is shaping the future of work! shl, people science. people answers. are you an ai enthusiastwith visionary thinking to conceptualize ai-based products? are you looking to apply these skills in an environment where teamwork and collaboration are key to developing our digital product experiences? we are seeking a research engineer to join our team to deliver robust ai/ml models. you will closely work with the product team to spot opportunities to use ai in the current product stack and influence the product roadmap by incorporating ai-led features/products. an excellent benefits package is offered in a culture where career development, with ongoing manager guidance, collaboration, flexibility, diversity, and inclusivity are all intrinsic to our culture. there is a huge investment in shl currently so there’s no better time to become a part of something transformational. what you will be doing develop and experiment with machine learning models like nlp, computer vision etc. prototype and fine-tune generative ai models for text, image, speech, and video generation. implement emerging llm technologies and monitoring tools. manage the entire ai/ml lifecycle from research to deployment and maintenance. optimize models for scalability, efficiency, and performance. collaborate with ml engineers for solution delivery and propose ai-driven enhancements. contribute to research, documentation, and publications with ai/ml advancements. essential what we are looking for from you: relevant experience in ai/ml - nlp, speech processing, and computer vision. proficiency in python and ml frameworks such as tensorflow, pytorch, & openai apis. good knowledge of ml theory deep learning, and statistical modeling. desirable familiarity with generative ai (llms & rag). experience in prototyping and deploying ai. agile and proactive thinking. get in touch find out how this one-off opportunity can help you to achieve your career goals by making an application to our knowledgeable and friendly talent acquisition team. choose a new path with shl. #careersatshl #shlhiringtalent #aijobs #researchjobs #mljobs #careeropportunities #jobopportunities about us we unlock the possibilities of businesses through the power of people, science and technology. we started this industry of people insight more than 40 years ago and continue to lead the market with powerhouse product launches, ground-breaking science and business transformation. when you inspire and transform people’s lives, you will experience the greatest business outcomes possible. shl’s products insights, experiences, and services can help achieve growth at scale. what shl can offer you diversity, equity, inclusion and accessibility are key threads in the fabric of shl’s business and culture (find out more about dei and accessibility at shl ) employee benefits package that takes care of you and your family. support, coaching, and on-the-job development to achieve career success a fun and flexible workplace where you’ll be inspired to do your best work (find out more lifeatshl ) the ability to transform workplaces around the world for others. shl is an equal opportunity employer. we support and encourage applications from a diverse range of candidates. we can, and do make adjustments to make sure our recruitment process is as inclusive as possible. can you recommend some assessment that can help me screen applications. time limit is less than 30 minutes",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/
